nomcoor,municipi,lloc,estil,epoca,lat,lon,prot,idprot,imatge
Castell de Vilagelans (Gurb),Gurb,,,"XVI, XX",41.976174,2.284411,BCIN,936-MH,
Casal de Mont-ral (Gurb),Gurb,,Obra popular,"Medieval, XVII-XVIII",41.953601,2.246047,BCIN,937-MH,
La Salada (Gurb),Gurb,,Obra popular,XIV-XV,41.942000,2.173375,BCIN,938-MH,
Monestir de Santa Maria de Lluçà (Lluçà),Lluçà,,"Romànic, barroc","XII-XIII, XV, XVII-XVIII",42.050489,2.035327,BCIN,360-MH-ZA,"http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Monestir_de_Santa_Maria_de_Lluçà,_Lluçanès.jpg/218px-Monestir_de_Santa_Maria_de_Lluçà,_Lluçanès.jpg"
Castell de Lluçà,Lluçà,,Romànic,"XI-XII, XIV",42.054568,2.040315,BCIN,1003-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Castel_de_Lluçà_-_paret_de_cara.jpg/218px-Castel_de_Lluçà_-_paret_de_cara.jpg
Castell de Malla,Malla,,,Medieval,41.888138,2.229550,BCIN,1016-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Castell_de_Malla_-_Malla_CIC_20110928_00771.jpg/218px-Castell_de_Malla_-_Malla_CIC_20110928_00771.jpg
Muralles (Manlleu),Manlleu,,,XIII-XVI,42.001018,2.283977,BCIN,1017-MH,
Mas Bellfort (Manlleu),Manlleu,,"Gòtic tardà, obra popular",XVI-XVIII,42.011385,2.300192,BCIN,1018-MH,
Monestir de Sant Pere de Casserres (les Masies de Roda),Les Masies de Roda,Collet de Casserres,Romànic,XI,42.001615,2.340681,BCIN,152-MH-ZA,"http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Casserres,_monestir-PM_24866.jpg/218px-Casserres,_monestir-PM_24866.jpg"
Castell de Casserres (les Masies de Roda),Les Masies de Roda,Collet de Casserres,,Medieval,42.001354,2.340782,BCIN,1031-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/CIC_20091023_06687.jpg/218px-CIC_20091023_06687.jpg
Castell de s'Avellana (les Masies de Roda),Les Masies de Roda,Península de l'Esquerda,Romànic,Medieval,41.970098,2.330121,BCIN,1033-MH,
L'Esquerda (les Masies de Roda),Les Masies de Roda,Península de l'Esquerda,Obra popular,"XII, XIV",41.975329,2.312879,BCIN,1032-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sant_Pere_de_l'Esquerda.jpg/218px-Sant_Pere_de_l'Esquerda.jpg
Castell de Voltregà (les Masies de Voltregà),Les Masies de Voltregà,El Pou,Romànic,X-XI,42.010767,2.206141,BCIN,1034-MH,
Conanglell (les Masies de Voltregà),Les Masies de Voltregà,,Obra popular,"XII, XIX",42.046322,2.245851,BCIN,1035-MH,
Despujol (les Masies de Voltregà),Les Masies de Voltregà,Ctra. de Vinyoles,Obra popular,XVII-XIX,42.012607,2.250159,BCIN,1036-MH,
Castell de Montesquiu,Montesquiu,,,XVII,42.113297,2.211944,BCIN,1081-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Montesquiu.jpg/218px-Montesquiu.jpg
Castell de Muntanyola,Muntanyola,,Obra popular,XVI-XVIII,41.878676,2.169124,BCIN,1107-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/CIC_20100326_10733.jpg/218px-CIC_20100326_10733.jpg
Castell de Múnter (Muntanyola),Muntanyola,"Turó del Castell, darrera l'església de Sant Esteve de Múnter",Romànic,X-XII,41.877980,2.216228,BCIN,1108-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Muntanyola_Castell_Múnter_RI-51-0005558_0258_resize.jpg/218px-Muntanyola_Castell_Múnter_RI-51-0005558_0258_resize.jpg
Castell d'Orís,Orís,,,XII-XVII,42.058611,2.2225,BCIN,1144-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Castillo_de_Orís.jpg/218px-Castillo_de_Orís.jpg
Puig de la Guàrdia (Orís),Orís,,,,42.060815,2.220074,BCIN,1145-MH,
Castell de Saderra (Orís),Orís,,,,42.085354,2.239252,BCIN,1146-MH,
Castell d'Oristà,Oristà,,,,41.934133,2.063219,BCIN,1147-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Ermita_de_Sant_Sebastià_d'Oristà_P1130490.JPG/218px-Ermita_de_Sant_Sebastià_d'Oristà_P1130490.JPG
Castell d'Olost (Oristà),Oristà,,Obra popular,"XV-XVII, XX",41.976964,2.094546,BCIN,1148-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Castell_Olost_IMG_6564.JPG/218px-Castell_Olost_IMG_6564.JPG
Castell de Tornamira (Oristà),Oristà,,Romànic,"Medieval, XVIII",41.949429,2.059970,BCIN,1149-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Castell_de_Tornamira_(Oristà)_-_1.jpg/218px-Castell_de_Tornamira_(Oristà)_-_1.jpg
Casal de Vilaregut (Oristà),Oristà,,Obra popular,"XIV-XV, XVIII",41.959985,2.098194,BCIN,1150-MH,
Castell de Toneu (Oristà),Oristà,,,Medieval,41.964459,2.11185,BCIN,1151-MH,
El Castell (Perafita),Perafita,,,XIX-XX,42.048013,2.109935,BCIN,1217-MH,
Castell de Quer (Prats de Lluçanès),Prats de Lluçanès,"Ctra. B-431, km 71,8 pista forestal",Romànic,"XII, XX",42.001186,2.024553,BCIN,1311-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Castell_Quer_IMG_6589.CR2.jpg/218px-Castell_Quer_IMG_6589.CR2.jpg
Casal de Soler de Nuc (Prats de Lluçanès),Prats de Lluçanès,"Ctra. BV-4401, km 18,8 pista forestal",Gòtic,XIV-XV,41.991878,2.006859,BCIN,1312-MH,
Castell de Rupit (Rupit i Pruit),Rupit i Pruit,,Romànic,XI,42.024499,2.466390,BCIN,1334-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Castell_de_Rupit_(Rupit_i_Pruit)_-_1.jpg/218px-Castell_de_Rupit_(Rupit_i_Pruit)_-_1.jpg
Freixenet (Sant Agustí de Lluçanès),Sant Agustí de Lluçanès,,Obra popular,XII,42.098012,2.116539,BCIN,757-MH,
Castell de Montorro (Sant Boi de Lluçanès),Sant Boi de Lluçanès,,Obra popular,Medieval,42.076402,2.164971,BCIN,1841-MH,
Casal de Bellpuig (Sant Julià de Vilatorta),Sant Julià de Vilatorta,,Romànic,XII,41.920446,2.321924,BCIN,1487-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Casal_de_Bellpuig_(Sant_Julià_de_Vilatorta).JPG/218px-Casal_de_Bellpuig_(Sant_Julià_de_Vilatorta).JPG
Castell de Sant Llorenç (Sant Julià de Vilatorta),Sant Julià de Vilatorta,,"Obra popular, historicisme","Medieval, XX",41.923558,2.358799,BCIN,1488-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Castell_de_Sant_Llorenç_(Sant_Julià_de_Vilatorta)_-_1.jpg/218px-Castell_de_Sant_Llorenç_(Sant_Julià_de_Vilatorta)_-_1.jpg
La Sala de Vilalleons (Sant Julià de Vilatorta),Sant Julià de Vilatorta,,Obra popular,"XIII-XVII, XIX",41.890437,2.323184,BCIN,1490-MH,
Domus de Vilatammar (Sant Martí d'Albars),Sant Martí d'Albars,,Obra popular,XIV-XV,42.021832,2.081268,BCIN,1498-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Domus_de_Vilatamar.jpg/218px-Domus_de_Vilatamar.jpg
Castell de Centelles (Sant Martí de Centelles),Sant Martí de Centelles,,"Gòtic, romànic","XII, XIII-XVI",41.769583,2.206693,BCIN,1499-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Castell_Centelles_IMG_4841.JPG/218px-Castell_Centelles_IMG_4841.JPG
El Castellar (Sant Martí de Centelles),Sant Martí de Centelles,Sant Pere de Valldeneu,,XVIII,41.736908,2.24938,BCIN,1500-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/El_Castellar_-_Sant_Martí_de_Centelles_20090501_CIC_IMG_1083.jpg/218px-El_Castellar_-_Sant_Martí_de_Centelles_20090501_CIC_IMG_1083.jpg
Castell de Curull (Sant Pere de Torelló),Sant Pere de Torelló,,Obra popular,XI,42.110264,2.338250,BCIN,1528-MH,
Castell de Vilar (Sant Pere de Torelló),Sant Pere de Torelló,,Gòtic,XV,42.091082,2.328461,BCIN,1529-MH,
Castell de Meda o Sameda (Sant Sadurní d'Osormort),Sant Sadurní d'Osormort,,Obra popular,Medieval,41.927432,2.363222,BCIN,1489-MH,
Castell de Torelló (Sant Vicenç de Torelló),Sant Vicenç de Torelló,Carena del Castell,Romànic,XII,42.073516,2.265392,BCIN,1546-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Castell_de_Torelló.JPG/218px-Castell_de_Torelló.JPG
Església de Santa Eugènia (Santa Eugènia de Berga),Santa Eugènia de Berga,Pl. Major,Romànic,"XI, XII",41.900287,2.283317,BCIN,191-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Santa_Eugènia_de_Berga-V.jpg/218px-Santa_Eugènia_de_Berga-V.jpg
Castell d'Heures (Santa Eugènia de Berga),Santa Eugènia de Berga,Sala-d'Heures,"Romànic, historicisme","XIII, XX",41.902972,2.301130,BCIN,1400-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Finestra_del_castell_d'Heures.jpg/218px-Finestra_del_castell_d'Heures.jpg
Castell de Torroella (Santa Eulàlia de Riuprimer),Santa Eulàlia de Riuprimer,,,XV-XVI,41.908336,2.196169,BCIN,1401-MH,
La Torreferrada (Santa Eulàlia de Riuprimer),Santa Eulàlia de Riuprimer,,Obra popular,XIII,41.911803,2.174822,BCIN,1402-MH,
Castell de Besora (Santa Maria de Besora),Santa Maria de Besora,,Romànic,X-XII,42.123706,2.251017,BCIN,1411-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Castell_Besora_IMG_2815.JPG/218px-Castell_Besora_IMG_2815.JPG
Castell de Beví (Santa Maria de Besora),Santa Maria de Besora,,,Medieval,42.135249,2.237588,BCIN,1412-MH,
Castell de Cabrera (Santa Maria de Corcó),Santa Maria de Corcó,,Obra popular,XII-XIII,42.076042,2.407206,BCIN,1413-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/CIC_20091215_08156.jpg/218px-CIC_20091215_08156.jpg
Castell de Barrès (Santa Maria de Corcó),Santa Maria de Corcó,,Obra popular,XIII,42.033198,2.360389,BCIN,1414-MH-ZA,
Castell d'Esparreguera (Seva),Seva,,,XII,41.801951,2.243887,BCIN,1567-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Castell_Esparreguera_IMG_1086.JPG/218px-Castell_Esparreguera_IMG_1086.JPG
Castell de Duocastella (Sora),Sora,"Finca de Rocafiguera, al nord-est del terme",,,42.1240028,2.1580806,BCIN,1577-MH,
Castell de Taradell,Taradell,,,X-XIV,41.8654528,2.3100056,BCIN,1593-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Castell_de_Can_Boix2.jpg/218px-Castell_de_Can_Boix2.jpg
Torre de don Carles (Taradell),Taradell,,,XVI,41.8760222,2.2871722,BCIN,1594-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/CIC_20110923_00414.jpg/218px-CIC_20110923_00414.jpg
Castell de Savassona (Tavèrnoles),Tavèrnoles,,,XVII-XVIII,41.9562139,2.3375306,BCIN,1612-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Castell_de_Savassona_(Tavèrnoles)_-_1.jpg/218px-Castell_de_Savassona_(Tavèrnoles)_-_1.jpg
Roca del Purpirol (Tavèrnoles),Tavèrnoles,,,,41.961768,2.325023,BCIN,1613-MH,
Casal de Vilamuntà (Tavèrnoles),Tavèrnoles,,,XI-XII,41.952831,2.365790,BCIN,1614-MH,
Castell de Sorerols (Tavertet),Tavertet,Prop de Sant Miquel de Sorerols,Romànic,XI,41.998911,2.378993,BCIN,3989-MH-ZA,
La Torre (Tavertet),Tavertet,,"Gòtic, obra popular","XIII, XVII",42.003946,2.420880,BCIN,1615-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Tavertet_-_La_Torre_1974.jpg/218px-Tavertet_-_La_Torre_1974.jpg
Torre de la Parareda (Tavertet),Tavertet,"Ctra. l'Esquirol-Tavertet, km 9",Obra popular,XVII,41.996833,2.395138,BCIN,1616-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Tavertet_TorreParareda_RI-51-0005736_5046_1_resize.jpg/218px-Tavertet_TorreParareda_RI-51-0005736_5046_1_resize.jpg
L'Avenc (Tavertet),Tavertet,,Gòtic tardà,XVI,42.005365,2.441983,BCIN,1617-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/L'Avenc_de_Tavertet.jpg/218px-L'Avenc_de_Tavertet.jpg
El Desvilar de Sant Bertomeu Sesgorgues (Tavertet),Tavertet,"Crta. BV-5207 Tavertet, km 4,5",Obra popular,XVII,42.014709,2.366691,BCIN,1618-MH,
Nucli antic de Tavertet,Tavertet,,"Obra popular, romànic",XI-XXI,41.996788,2.419815,BCIN,1877-CH,http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Tavertet_-_Vista_general_del_poble._Any_1960.jpg/218px-Tavertet_-_Vista_general_del_poble._Any_1960.jpg
Escut de la Confraria de Sant Joan (Tona),Tona,,Barroc,XVII,,,BCIN,3983-MH,
Castell i Església de Sant Andreu (Tona),Tona,,"Preromànic, romànic","IX-X, XI",41.853994,2.224345,BCIN,218-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Foto_castell_Tona.jpg/218px-Foto_castell_Tona.jpg
Domus de Vilamajor (Tona),Tona,,Obra popular,Medieval,41.861209,2.202530,BCIN,1630-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Domus_de_Vilamajor_-_Tona_CIC_20110928_00784.jpg/218px-Domus_de_Vilamajor_-_Tona_CIC_20110928_00784.jpg
Castell de Güells (Tona),Tona,,Obra popular,XVIII,41.843185,2.199033,BCIN,1628-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Castell_de_Güells_-_Tona_CIC_20110928_00787.jpg/218px-Castell_de_Güells_-_Tona_CIC_20110928_00787.jpg
Casal de Mont-rodon (Tona),Tona,,,"XII, XV, XX Final",41.864875,2.266631,BCIN,1629-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Casal_de_Mont-rodon_-_Tona_CIC_20110928_00714.jpg/218px-Casal_de_Mont-rodon_-_Tona_CIC_20110928_00714.jpg
Escuts de la Casa Parrella (Torelló),Torelló,"C. Ges Avall, 1-3 - pl. Vella 7-8","Gòtic, barroc","XVI, XVII",42.046660,2.261767,BCIN,3990-MH,
Escut de la Casa Codolosa (Torelló),Torelló,"Passatge d'Espadanya, 1 i 3",Obra popular,XVI,42.047296,2.262994,BCIN,3991-MH,
Escut del Mas Puigdessalit (Torelló),Torelló,Mas del Puig,Obra popular,XVIII,42.043322,2.265049,BCIN,3992-MH,
Puigdessalit (Torelló),Torelló,"Torre sense restes visibles, prop del Mas el Puig, al puig de Sant Feliu",,"Medieval, XVII",42.042597,2.265409,BCIN,1636-MH,
La Torre Vella (Vic),Vic,Sant Joan del Galí,,Medieval,41.930687,2.208571,BCIN,1403-MH,
Ermita de Sant Sebastià (Vic),Vic,Sentfores,Obra popular,"XVI, XVIII",41.926007,2.199516,BCIN,23-02-2012,http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Ermita_de_Sant_Sebastià_(Vic).JPG/218px-Ermita_de_Sant_Sebastià_(Vic).JPG
Barri de les Adoberies (Vic),Vic,"C. Adoberies, c. Aluders, c. Prat d'en Galliners",,XVIII-XX,41.927793,2.257068,BCIN,ZIE,"http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/097_La_catedral_i_les_adoberies,_pont_de_Queralt.jpg/218px-097_La_catedral_i_les_adoberies,_pont_de_Queralt.jpg"
Catedral de Sant Pere (Vic),Vic,Pl. de la Catedral,"Romànic, neoclassicisme","XI, XVIII-XIX",41.928186,2.255545,BCIN,237-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/PM_58833_E_Vic.jpg/218px-PM_58833_E_Vic.jpg
Temple romà (Vic),Vic,C. Pare Xifré - pl. Vella,,Romà,41.929194,2.256767,BCIN,231-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Templo_romano_de_Vic_-_001.jpg/218px-Templo_romano_de_Vic_-_001.jpg
El Pont d'en Bruguer (Vic),Vic,,Gòtic,XIV-XV,41.939162,2.276568,BCIN,229-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Pont_d'en_Bruguer_4.jpg/218px-Pont_d'en_Bruguer_4.jpg
Castell dels Montcada (Vic),Vic,C. Pare Xifré - pl. Pietat,Romànic,XI-XII,41.929326,2.256918,BCIN,1436-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Vestigis_Castell_dels_Montcada_de_Vic.JPG/218px-Vestigis_Castell_dels_Montcada_de_Vic.JPG
Muralles de Vic,Vic,,,XIV,41.928618,2.257369,BCIN,1437-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Muralla_Vic.jpg/218px-Muralla_Vic.jpg
Castell de Sentfores (Vic),Vic,Sentfores,Obra popular,Medieval,41.906879,2.219078,BCIN,1744-MH,
Casa de Malloles (Vic),Vic,C. Malloles,Obra popular,"Medieval, XVII",41.947231,2.282020,BCIN,1745-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Casa_de_Malloles_(Vic).jpg/218px-Casa_de_Malloles_(Vic).jpg
Castell d'en Planes (Vic),Vic,C. Castell d'en Planes,,XIX-XX,41.936054,2.246127,BCIN,1746-MH,
Espinzella (Viladrau),Viladrau,,Romànic,XII-XVI,41.854771,2.338455,BCIN,1764-MH,
La Sala (Viladrau),Viladrau,,Obra popular,"XIV, XVII",41.840642,2.359226,BCIN,1765-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Masía_La_Sala.JPG/218px-Masía_La_Sala.JPG
Castell de Cornil (Vilanova de Sau),Vilanova de Sau,Puig de la Força,Obra popular,XI-XII,41.980822,2.389022,BCIN,1789-MH-ZA,
Casal del Pi (Vilanova de Sau),Vilanova de Sau,,,XII-XIII,41.977928,2.394944,BCIN,1790-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Domus_del_Pi.JPG/218px-Domus_del_Pi.JPG
Casal dels Sant-romà (Vilanova de Sau),Vilanova de Sau,La Riba,Obra popular,"XI-XII, XVIII-XIX",41.976205,2.391173,BCIN,1791-MH-ZA,
Pedra del Gili (Sant Julià de Vilatorta),Sant Julià de Vilatorta,Serrat per sobre de la masia del Gili,"Lloc amb representació gràfica sobre pedra, gravat",,41.899592,2.322478,BCIN,ZA,
Pedra de Can Roquet (Tavèrnoles),Tavèrnoles,Zona de conreu de la masia del Roquet,"Lloc amb representació gràfica sobre pedra, gravat",,41.955338,2.322848,BCIN,ZA,
Pedres gravades de Savassona (Tavèrnoles),Tavèrnoles,A l'est del Pla de Savassona,"Lloc amb representació gràfica sobre pedra, gravat",,41.960159,2.341797,BCIN,ZA,
Camp de les Lloses (Tona),Tona,Al peu del turó del Castell,"Assentament militar. Lloc d'enterrament Inhumació col·lectiu, necròpolis. Lloc d'habitació amb estructures conservades. Lloc o centre de producció i explotació metal·lúrgia.",Des de Bronze Final III a Romà Baix Imperi (-900/300). Des de Medieval Catalunya vella sotmesa als Carolingis a Segles XVIII-XX (800/1999),41.851114,2.224689,BCIN,ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Camplloses.jpg/218px-Camplloses.jpg
El Castell (Tona),Tona,Dalt del turó del Castell,"Lloc d'habitació sense estructures. Assentament militar. Edifici religiós, església.",Des de Ferro-Ibèric a Romà (-650/476). Medieval (800/1492),41.853919,2.224544,BCIN,ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Castell_Tona-IMG_4927.JPG/218px-Castell_Tona-IMG_4927.JPG
Castell d'Aguilar (Aguilar de Segarra),Aguilar de Segarra,,,XIV-XVIII,41.742278,1.621144,BCIN,451-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Castell_d´Aguilar_-_Aguilar_de_Segarra_CIC_20110926_00547.jpg/218px-Castell_d´Aguilar_-_Aguilar_de_Segarra_CIC_20110926_00547.jpg
Castell de Castellar (Aguilar de Segarra),Aguilar de Segarra,,Obra popular,XVII,41.728246,1.649329,BCIN,452-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Castell_de_Castellar2.JPG/218px-Castell_de_Castellar2.JPG
Castell d'Artés,Artés,Pl. Vella o Major,"Romànic, gòtic, obra popular",XII-XV,41.799316,1.950434,BCIN,734-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/RI-51-0005182.jpg/218px-RI-51-0005182.jpg
Masia les Torres (Artés),Artés,,Gòtic,XII-XV,41.792152,1.927931,BCIN,735-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Masia_Les_Torres_De_Selm.jpg/218px-Masia_Les_Torres_De_Selm.jpg
Torre del Soldat (Avinyó),Avinyó,,Obra popular,XIX,41.871620,1.982932,BCIN,493-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Torre_del_Soldat_-_Avinyó_CIC_20110913_21917.jpg/218px-Torre_del_Soldat_-_Avinyó_CIC_20110913_21917.jpg
Castell de Balsareny,Balsareny,,Gòtic,XIV,41.870770,1.881454,BCIN,502-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Castell_de_Balsareny.JPG/218px-Castell_de_Balsareny.JPG
Fortí de Sant Maurici (Balsareny),Balsareny,,,XIX,41.867909,1.870782,BCIN,503-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Fortí_de_Sant_Maurici_(Balsareny)_-_1.jpg/218px-Fortí_de_Sant_Maurici_(Balsareny)_-_1.jpg
Fortí de la Torreta (Balsareny),Balsareny,,,XIX,41.870426,1.880385,BCIN,504-MH,
Castell de Calders,Calders,,Obra popular,XII-XIII,41.780511,1.992947,BCIN,575-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Castell_de_Calders.jpg/218px-Castell_de_Calders.jpg
Castell de Callús,Callús,Camí del Cortès o del Cementiri. En un petit turó darrera l'església de Sant Sadurní.,,Medieval,41.794167,1.779444,BCIN,584-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Castellet_de_Gotmar.jpg/218px-Castellet_de_Gotmar.jpg
Pont del Diable (Cardona),Cardona,,Gòtic,XV,41.919671,1.684835,BCIN,88-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Pont_del_Diable_de_Cardona.JPG/218px-Pont_del_Diable_de_Cardona.JPG
Canònica de Sant Vicenç de Cardona,Cardona,,Romànic,XI,41.914356,1.686288,BCIN,96-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/NauSanVicenç.JPG/218px-NauSanVicenç.JPG
Castell de Cardona,Cardona,,"Romànic, gòtic","X-XI, XIV-XV, XVIII-XIX",41.914474,1.685558,BCIN,620-MH-ZA,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Castell_de_Cardona.JPG/218px-Castell_de_Cardona.JPG
Muralla de Cardona i Portal de Graells,Cardona,,Obra popular,"XIV, XIX",41.915645,1.682485,BCIN,621-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Portal_de_Graells_(Cardona).jpg/218px-Portal_de_Graells_(Cardona).jpg
Torre de Meer (Cardona),Cardona,,,XIX,41.910258,1.673983,BCIN,622-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Torre_de_Meer.jpg/218px-Torre_de_Meer.jpg
Casc antic de Cardona,Cardona,,Gòtic,Medieval-XXI,41.91371,1.68001,BCIN,-CH,
Castell de Castellbell (Castellbell i el Vilar),Castellbell i el Vilar,,Gòtic,XIV-XV,41.642466,1.858321,BCIN,633-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Castell_de_Castellbell.JPG/218px-Castell_de_Castellbell.JPG
Castell de Castellfollit (Castellfollit del Boix),Castellfollit del Boix,,,Medieval,41.668473,1.704847,BCIN,651-MH,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Castell_de_Castellfollit_-_Castellfollit_del_Boix_CIC_20110926_00607.jpg/218px-Castell_de_Castellfollit_-_Castellfollit_del_Boix_CIC_20110926_00607.jpg
